QuestionId,IsTrue
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
